date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:36	894/894	---MCZ	200	added ('OK')	text/plain	date:Sat,%2003%20Dec%202022%2001:46:34%20GMT	https://www.facebook.com/robots.txt		(from )
20:46:36	63397/63397	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Dec%202022%2001:46:34%20GMT	https://www.facebook.com/	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/www.facebook.com/index.html	(from )
20:46:37	15185/15185	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/x9Jz5CMXC-n.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/static.xx.fbcdn.net/rsrc.php/v3/y6/l/0,cross/x9Jz5CMXC-n1f8e.css	(from https://www.facebook.com/)
20:46:37	60418/60418	---MCZ	200	added ('OK')	text/html	date:Sat,%2003%20Dec%202022%2001:46:35%20GMT	https://www.facebook.com/?_fb_noscript=1	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/www.facebook.com/index4964.html	(from https://www.facebook.com/)
20:46:37	930/930	---MCZ	200	added ('OK')	application/json	date:Sat,%2003%20Dec%202022%2001:46:34%20GMT	https://www.facebook.com/data/manifest/	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/www.facebook.com/data/manifest/index.html	(from https://www.facebook.com/)
20:46:37	10754/10754	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/8W_H4Nz7hs1.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/static.xx.fbcdn.net/rsrc.php/v3/y0/l/0,cross/8W_H4Nz7hs11f8e.css	(from https://www.facebook.com/)
20:46:37	20033/20033	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yQ/l/0,cross/xB3b6HBikh8.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/static.xx.fbcdn.net/rsrc.php/v3/yQ/l/0,cross/xB3b6HBikh81f8e.css	(from https://www.facebook.com/)
20:46:37	18087/18087	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/XpOf3GVSA-k.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/static.xx.fbcdn.net/rsrc.php/v3/yX/l/0,cross/XpOf3GVSA-k1f8e.css	(from https://www.facebook.com/)
20:46:38	1225/1225	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yr/l/0,cross/u4xvA0Tw-4L.css?_nc_x=Ij3Wp8lg5Kz	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/static.xx.fbcdn.net/rsrc.php/v3/yr/l/0,cross/u4xvA0Tw-4L1f8e.css	(from https://www.facebook.com/)
20:46:38	369248/369248	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2001%20Jan%202001%2008:00:00%20GMT	https://static.xx.fbcdn.net/rsrc.php/v3/yA/r/eb9i63Mnvt2.js?_nc_x=Ij3Wp8lg5Kz	C:/Users/ernes/Desktop/Proyecto/UI/Login-template/facebook=login/static.xx.fbcdn.net/rsrc.php/v3/yA/r/eb9i63Mnvt21f8e.js	(from https://www.facebook.com/)
